Arabidopsis,k = 100,k = 100,k = 500,k = 500,k = 1000,k = 1000,,Zebrafish,k = 100,k = 100,k = 500,k = 500,k = 1000,k = 1000,,Mouse,k = 100,k = 100,k = 500,k = 500,k = 1000,k = 1000,,Human,k = 100,k = 100,k = 500,k = 500,k = 1000,k = 1000,,Fly ,k = 100,k = 100,k = 500,k = 500,k = 1000,k = 1000,,Moth ,k = 100,k = 100,k = 500,k = 500,k = 1000,k = 1000
,Precision,percentage,Precision,percentage,Precision,percentage,,,Precision,percentage,Precision,percentage,Precision,percentage,,,Precision,percentage,Precision,percentage,Precision,percentage,,,Precision,percentage,Precision,percentage,Precision,percentage,,,Precision,percentage,Precision,percentage,Precision,percentage,,,Precision,percentage,Precision,percentage,Precision,percentage
"[0.9, 1.0]",97.0,57.6,97.2,56.4,97.2,56.6,,"[0.9, 1.0]",97.3,60.5,97.5,58.7,97.5,58.5,,"[0.9, 1.0]",94.0,28.7,95.1,28.0,95.5,27.5,,"[0.9, 1.0]",91.3,25.1,92.0,26.2,92.4,26.4,,"[0.9, 1.0]",96.9,61.3,97.4,61.4,97.4,61.4,,"[0.9, 1.0]",94.4,48.5,95.1,46.2,95.3,46.4
"[0.8,0.9)",89.1,12.6,89.7,14.0,89.7,14.1,,"[0.8,0.9)",89.7,11.6,90.0,12.9,90.4,13.2,,"[0.8,0.9)",84.3,9.4,86.1,13.1,86.9,14.5,,"[0.8,0.9)",78.9,8.2,81.0,11.5,81.1,12.8,,"[0.8,0.9)",87.9,9.9,88.7,11.0,89.2,11.3,,"[0.8,0.9)",86.4,11.5,87.0,13.4,87.1,14.0
"[0.7,0.8)",74.9,8.2,77.0,8.7,77.7,8.8,,"[0.7,0.8)",81.7,7.1,83.1,8.0,82.6,8.3,,"[0.7,0.8)",76.2,6.9,76.8,9.4,76.3,10.3,,"[0.7,0.8)",69.9,5.8,70.0,8.3,69.5,9.5,,"[0.7,0.8)",79.1,6.2,78.6,6.8,79.0,6.9,,"[0.7,0.8)",74.5,7.7,75.4,8.6,76.3,9.0
"[0.6,0.7)",66.5,6.3,68.5,6.8,68.5,6.8,,"[0.6,0.7)",71.2,5.3,71.9,5.9,72.4,6.2,,"[0.6,0.7)",67.9,5.6,68.1,7.7,67.2,8.9,,"[0.6,0.7)",60.1,4.9,59.4,7.2,58.4,8.0,,"[0.6,0.7)",67.8,4.7,68.0,5.2,68.3,5.3,,"[0.6,0.7)",68.7,5.7,71.4,6.6,70.8,6.9
"[0.5,0.6)",54.9,4.9,55.0,5.3,55.4,5.5,,"[0.5,0.6)",62.6,4.5,63.8,4.8,64.2,4.9,,"[0.5,0.6)",57.6,4.5,58.3,5.9,58.3,6.6,,"[0.5,0.6)",51.8,4.0,52.0,5.7,52.3,6.3,,"[0.5,0.6)",58.0,3.6,57.9,4.1,57.1,4.2,,"[0.5,0.6)",55.6,4.9,55.7,5.4,55.8,5.7
"[0.4,0.5)",44.4,3.6,44.2,4.1,44.7,4.1,,"[0.4,0.5)",50.8,2.3,51.4,2.8,50.7,3.0,,"[0.4,0.5)",47.5,2.7,49.0,3.7,49.2,4.0,,"[0.4,0.5)",42.8,2.4,44.8,3.3,44.4,3.7,,"[0.4,0.5)",45.6,2.2,48.7,2.4,48.2,2.5,,"[0.4,0.5)",43.0,2.8,43.3,3.6,44.2,3.7
"[0.3,0.4)",40.5,1.4,37.9,1.6,37.0,1.7,,"[0.3,0.4)",42.9,1.1,41.9,1.2,42.7,1.2,,"[0.3,0.4)",43.2,1.4,40.1,1.7,39.8,2.0,,"[0.3,0.4)",37.6,1.2,37.5,1.5,36.3,1.7,,"[0.3,0.4)",38.4,1.3,35.5,1.5,36.6,1.5,,"[0.3,0.4)",34.0,1.0,31.4,1.3,31.4,1.4
"[0.2,0.3)",36.2,0.4,35.9,0.5,33.9,0.5,,"[0.2,0.3)",27.1,0.4,24.2,0.4,24.0,0.4,,"[0.2,0.3)",36.2,0.5,31.9,0.7,31.6,0.8,,"[0.2,0.3)",30.9,0.5,32.6,0.6,35.2,0.7,,"[0.2,0.3)",37.8,0.4,30.1,0.6,29.9,0.7,,"[0.2,0.3)",19.1,0.4,15.3,0.5,15.6,0.5
"[0.1,0.2)",42.4,0.2,40.5,0.2,37.0,0.2,,"[0.1,0.2)",56.1,0.1,41.4,0.1,50.4,0.1,,"[0.1,0.2)",36.8,0.2,33.0,0.2,21.6,0.3,,"[0.1,0.2)",30.6,0.2,26.0,0.3,25.1,0.3,,"[0.1,0.2)",44.4,0.1,29.3,0.2,21.0,0.2,,"[0.1,0.2)",57.1,0.1,51.5,0.1,40.4,0.1
"(0.0,0.1)",44.4,0.1,24.6,0.1,42.1,0.1,,"(0.0,0.1)",52.5,0.1,31.7,0.1,33.5,0.1,,"(0.0,0.1)",35.7,0.1,34.7,0.2,32.3,0.2,,"(0.0,0.1)",46.8,0.1,44.3,0.1,41.8,0.1,,"(0.0,0.1)",57.1,0.1,63.1,0.1,57.5,0.1,,"(0.0,0.1)",62.5,0.1,47.6,0.1,67.6,0.1
0.0,74.9,4.7,72.7,2.3,68.7,1.5,,0.0,66.8,6.9,65.2,4.9,61.2,4.1,,0.0,63.0,40.1,58.8,29.3,56.9,25.1,,0.0,58.5,47.7,54.5,35.3,52.7,30.6,,0.0,80.7,10.2,81.2,6.7,82.6,5.8,,0.0,72.5,17.3,72.5,14.3,71.8,12.2